      hora_programada  hora_salida  hora_estimada
0           13.333333    13.416667      12.721540
1            7.666667     7.533333       7.882321
2           18.583333    18.066667      18.767947
3           22.916667    23.016667      22.801074
4           16.500000    16.650000      16.413891
5            5.833333     6.983333       6.084762
6           18.250000    18.683333      18.131130
7            7.000000     7.300000       7.436690
8            9.166667     9.250000       9.419447
9           19.500000    18.900000      19.297941
10          19.000000    18.950000      18.718303
11          12.500000    12.933333      13.017831
12          11.083333    11.150000      11.313742
13          12.000000    12.016667      11.939343
14          22.166667    22.533333      22.054281
15          20.833333    21.316667      20.674948
16           7.500000     7.600000       7.991461
17          12.000000    11.800000      12.018962
18          13.833333    14.000000      13.930057
19          13.750000    12.400000      13.652311
20           8.750000     8.683333       8.893257
21           6.416667     6.733333       6.486370
22           8.250000     8.866667       9.021623
23          11.000000    11.066667      11.205097
24          15.833333    17.066667      15.770058
25           8.416667     8.566667       8.622422
26          10.583333    11.216667      10.954888
27          16.083333    16.316667      16.139783
28          13.000000    13.300000      13.331887
29           8.416667     8.566667       8.513569
30          15.916667    15.916667      15.941159
31           3.833333     5.500000       4.572037
32          22.000000    22.600000      22.050181
33          10.333333    10.250000      10.912929
34          21.333333    21.400000      20.524577
35          15.583333    15.716667      15.882823
36          19.500000    19.666667      19.690288
37          10.000000    10.600000      10.781000
38          17.250000    16.866667      17.103564
39          10.000000    10.366667      10.192507
40          13.666667    13.600000      14.637622
41           9.583333     9.516667       9.940340
42          10.833333    11.316667      11.027070
43           9.833333    10.000000       9.940583
44          11.750000    11.400000      11.837812
45           7.166667     7.433333       8.100690
46          12.916667    12.983333      12.666423
47          11.416667    11.183333      11.809592
48           8.083333     7.933333       8.378128
49          11.500000    11.550000      11.517910
50          13.333333    13.416667      12.721540
51           7.416667     7.500000       7.301390
52          18.500000    18.916667      18.274041
53          10.500000    10.150000      11.324961
54          13.833333    13.966667      14.121818
55          15.000000    15.150000      15.020216
56           3.000000     3.216667       3.447059
57          20.166667    20.100000      20.034696
58          19.583333    19.650000      19.286295
59          11.850000    11.900000      12.244189
60           3.333333     3.550000       3.304582
61          17.000000    17.000000      16.869495
62          15.000000    15.350000      15.121706
63          14.833333    14.850000      15.061507
64          11.750000    11.583333      11.449359
65          10.000000    10.083333      10.108461
66          12.500000    12.666667      12.517229
67          13.333333    13.266667      13.393687
68          13.000000    13.216667      13.259595
69          10.166667    11.600000      10.930628
70           6.250000     6.516667       6.319940
71          13.583333    13.500000      13.629078
72          19.833333    19.883333      19.593340
73          22.000000    22.200000      22.127082
74          12.500000    12.883333      12.885417
75          11.666667    11.833333      12.268585
76          22.000000    22.250000      21.910736
77          11.000000    11.033333      12.202884
78          14.333333    14.666667      15.209583
79          16.000000    15.966667      16.138765
80          19.666667    19.750000      19.700221
81          18.000000    18.333333      17.903496
82          17.500000    17.816667      17.445351
83           9.333333     9.450000       9.554392
84          11.583333    11.750000      11.748888
